"info","all","initial","followup","samples_tested","model_type"
"Recall","0.926829268292683","0.926829268292683",NA,"adn","lesion"
"F1","0.666666666666667","0.962025316455696",NA,"adn","lesion"
"Prevalence","0.5","1","0","adn","lesion"
"Detection Rate","0.463414634146341","0.926829268292683","0","adn","lesion"
"Detection Prevalence","0.890243902439024","0.926829268292683","0.853658536585366","adn","lesion"
"Balanced Accuracy","0.536585365853659",NA,NA,"adn","lesion"
"Accuracy","0.615384615384615","1","0.230769230769231","crc","lesion"
"Kappa","0.206106870229008","NaN","0.0188679245283019","crc","lesion"
"AccuracyLower","0.470184821842253","0.867725395502246","0.0897401108845752","crc","lesion"
"AccuracyUpper","0.746953471013033","1","0.436475096941387","crc","lesion"
"AccuracyNull","0.519230769230769","1","0.961538461538462","crc","lesion"
"AccuracyPValue","0.105448134017701","1","1","crc","lesion"
"McnemarPValue","2.15178643781202e-05","NaN","2.15178643781202e-05","crc","lesion"
"Sensitivity","1","1","1","crc","lesion"
"Specificity","0.2",NA,"0.2","crc","lesion"
"Pos Pred Value","0.574468085106383",NA,"0.0476190476190476","crc","lesion"
"Neg Pred Value","1",NA,"1","crc","lesion"
"Precision","0.574468085106383","1","0.0476190476190476","crc","lesion"
"Recall","1","1","1","crc","lesion"
"F1","0.72972972972973","1","0.0909090909090909","crc","lesion"
"Prevalence","0.519230769230769","1","0.0384615384615385","crc","lesion"
"Detection Rate","0.519230769230769","1","0.0384615384615385","crc","lesion"
"Detection Prevalence","0.903846153846154","1","0.807692307692308","crc","lesion"
"Balanced Accuracy","0.6",NA,"0.6","crc","lesion"
"Accuracy","0.559701492537313","0.91044776119403","0.208955223880597","all","red_lesion"
"Kappa","0.109885160999775","0","0.00726866088901314","all","red_lesion"
"AccuracyLower","0.471398287264346","0.815203833237716","0.119211831404623","all","red_lesion"
"AccuracyUpper","0.645307468482403","0.966423011440363","0.32566334879148","all","red_lesion"
"AccuracyNull","0.507462686567164","1","0.985074626865672","all","red_lesion"
"AccuracyPValue","0.130624573912728","1","1","all","red_lesion"
"McnemarPValue","2.11538042627484e-09","0.0412268333371636","9.14823721432498e-13","all","red_lesion"
"Sensitivity","0.911764705882353","0.91044776119403","1","all","red_lesion"
"Specificity","0.196969696969697",NA,"0.196969696969697","all","red_lesion"
"Pos Pred Value","0.539130434782609",NA,"0.0185185185185185","all","red_lesion"
"Neg Pred Value","0.684210526315789",NA,"1","all","red_lesion"
"Precision","0.539130434782609","1","0.0185185185185185","all","red_lesion"
"Recall","0.911764705882353","0.91044776119403","1","all","red_lesion"
"F1","0.677595628415301","0.953125","0.0363636363636364","all","red_lesion"
"Prevalence","0.507462686567164","1","0.0149253731343284","all","red_lesion"
"Detection Rate","0.462686567164179","0.91044776119403","0.0149253731343284","all","red_lesion"
"Detection Prevalence","0.858208955223881","0.91044776119403","0.805970149253731","all","red_lesion"
"Balanced Accuracy","0.554367201426025",NA,"0.598484848484849","all","red_lesion"
"Accuracy","0.548780487804878","0.902439024390244","0.195121951219512","adn","red_lesion"
"Kappa","0.0975609756097562","0","0","adn","red_lesion"
"AccuracyLower","0.434942396364559","0.768685450690539","0.0882061016628513","adn","red_lesion"
"AccuracyUpper","0.658991199782436","0.972772533201639","0.34866546745138","adn","red_lesion"
"AccuracyNull","0.5","1","1","adn","red_lesion"
"AccuracyPValue","0.219852714592912","1","1","adn","red_lesion"
"McnemarPValue","4.16105012834749e-06","0.133614402537715","2.54031201428843e-08","adn","red_lesion"
"Sensitivity","0.902439024390244","0.902439024390244",NA,"adn","red_lesion"
"Specificity","0.195121951219512",NA,"0.195121951219512","adn","red_lesion"
"Pos Pred Value","0.528571428571429",NA,NA,"adn","red_lesion"
"Neg Pred Value","0.666666666666667",NA,NA,"adn","red_lesion"
"Precision","0.528571428571429","1","0","adn","red_lesion"
"Recall","0.902439024390244","0.902439024390244",NA,"adn","red_lesion"
"F1","0.666666666666667","0.948717948717949",NA,"adn","red_lesion"
"Prevalence","0.5","1","0","adn","red_lesion"
"Detection Rate","0.451219512195122","0.902439024390244","0","adn","red_lesion"
"Detection Prevalence","0.853658536585366","0.902439024390244","0.804878048780488","adn","red_lesion"
"Balanced Accuracy","0.548780487804878",NA,NA,"adn","red_lesion"
"Accuracy","0.576923076923077","0.923076923076923","0.230769230769231","crc","red_lesion"
"Kappa","0.129375951293759","0","0.0188679245283019","crc","red_lesion"
"AccuracyLower","0.432047204003542","0.748697083304626","0.0897401108845752","crc","red_lesion"
"AccuracyUpper","0.712722394243116","0.990544608996287","0.436475096941387","crc","red_lesion"
"AccuracyNull","0.519230769230769","1","0.961538461538462","crc","red_lesion"
"AccuracyPValue","0.244361078512704","1","1","crc","red_lesion"
"McnemarPValue","0.000289619409755552","0.479500122186953","2.15178643781202e-05","crc","red_lesion"
"Sensitivity","0.925925925925926","0.923076923076923","1","crc","red_lesion"
"Specificity","0.2",NA,"0.2","crc","red_lesion"
"Pos Pred Value","0.555555555555556",NA,"0.0476190476190476","crc","red_lesion"
"Neg Pred Value","0.714285714285714",NA,"1","crc","red_lesion"
"Precision","0.555555555555556","1","0.0476190476190476","crc","red_lesion"
"Recall","0.925925925925926","0.923076923076923","1","crc","red_lesion"
"F1","0.694444444444444","0.96","0.0909090909090909","crc","red_lesion"
"Prevalence","0.519230769230769","1","0.0384615384615385","crc","red_lesion"
"Detection Rate","0.480769230769231","0.923076923076923","0.0384615384615385","crc","red_lesion"
"Detection Prevalence","0.865384615384615","0.923076923076923","0.807692307692308","crc","red_lesion"
"Balanced Accuracy","0.562962962962963",NA,"0.6","crc","red_lesion"
"Accuracy","0.992537313432836","1","0.985074626865672","all","IF"
"Kappa","0.985074626865672","NaN","0","all","IF"
"AccuracyLower","0.959122962463657","0.946430345872903","0.919623549376982","all","IF"
"AccuracyUpper","0.999811078982269","1","0.999622193655689","all","IF"
"AccuracyNull","0.507462686567164","1","0.985074626865672","all","IF"
"AccuracyPValue","4.3814472445475e-38","1","0.735765814851102","all","IF"
"McnemarPValue","1","NaN","1","all","IF"
"Sensitivity","0.985294117647059","1","0","all","IF"
"Specificity","1",NA,"1","all","IF"
"Pos Pred Value","1",NA,"NaN","all","IF"
"Neg Pred Value","0.985074626865672",NA,"0.985074626865672","all","IF"
"Precision","1","1",NA,"all","IF"
"Recall","0.985294117647059","1","0","all","IF"
"F1","0.992592592592593","1",NA,"all","IF"
"Prevalence","0.507462686567164","1","0.0149253731343284","all","IF"
"Detection Rate","0.5","1","0","all","IF"
"Detection Prevalence","0.5","1","0","all","IF"
"Balanced Accuracy","0.992647058823529",NA,"0.5","all","IF"
"Accuracy","1","1","1","adn","IF"
"Kappa","1","NaN","NaN","adn","IF"
"AccuracyLower","0.956010545813158","0.913956163705972","0.913956163705972","adn","IF"
"AccuracyUpper","1","1","1","adn","IF"
"AccuracyNull","0.5","1","1","adn","IF"
"AccuracyPValue","2.06795153138258e-25","1","1","adn","IF"
"McnemarPValue","NaN","NaN","NaN","adn","IF"
"Sensitivity","1","1",NA,"adn","IF"
"Specificity","1",NA,"1","adn","IF"
"Pos Pred Value","1",NA,NA,"adn","IF"
"Neg Pred Value","1",NA,NA,"adn","IF"
"Precision","1","1",NA,"adn","IF"
"Recall","1","1",NA,"adn","IF"
"F1","1","1",NA,"adn","IF"
"Prevalence","0.5","1","0","adn","IF"
"Detection Rate","0.5","1","0","adn","IF"
"Detection Prevalence","0.5","1","0","adn","IF"
"Balanced Accuracy","1",NA,NA,"adn","IF"
"Accuracy","0.980769230769231","1","0.961538461538462","crc","IF"
"Kappa","0.961538461538461","NaN","0","crc","IF"
"AccuracyLower","0.897446455347882","0.867725395502246","0.803630353237461","crc","IF"
"AccuracyUpper","0.999513237584508","1","0.999026712106665","crc","IF"
"AccuracyNull","0.519230769230769","1","0.961538461538462","crc","IF"
"AccuracyPValue","7.76692347055636e-14","1","0.735806035190469","crc","IF"
"McnemarPValue","1","NaN","1","crc","IF"
"Sensitivity","0.962962962962963","1","0","crc","IF"
"Specificity","1",NA,"1","crc","IF"
"Pos Pred Value","1",NA,"NaN","crc","IF"
"Neg Pred Value","0.961538461538461",NA,"0.961538461538462","crc","IF"
"Precision","1","1",NA,"crc","IF"
"Recall","0.962962962962963","1","0","crc","IF"
"F1","0.981132075471698","1",NA,"crc","IF"
"Prevalence","0.519230769230769","1","0.0384615384615385","crc","IF"
"Detection Rate","0.5","1","0","crc","IF"
"Detection Prevalence","0.5","1","0","crc","IF"
"Balanced Accuracy","0.981481481481481",NA,"0.5","crc","IF"
"Accuracy","0.992537313432836","1","0.985074626865672","all","red_IF"
"Kappa","0.985074626865672","NaN","0","all","red_IF"
"AccuracyLower","0.959122962463657","0.946430345872903","0.919623549376982","all","red_IF"
"AccuracyUpper","0.999811078982269","1","0.999622193655689","all","red_IF"
"AccuracyNull","0.507462686567164","1","0.985074626865672","all","red_IF"
"AccuracyPValue","4.3814472445475e-38","1","0.735765814851102","all","red_IF"
"McnemarPValue","1","NaN","1","all","red_IF"
"Sensitivity","0.985294117647059","1","0","all","red_IF"
"Specificity","1",NA,"1","all","red_IF"
"Pos Pred Value","1",NA,"NaN","all","red_IF"
"Neg Pred Value","0.985074626865672",NA,"0.985074626865672","all","red_IF"
"Precision","1","1",NA,"all","red_IF"
"Recall","0.985294117647059","1","0","all","red_IF"
"F1","0.992592592592593","1",NA,"all","red_IF"
"Prevalence","0.507462686567164","1","0.0149253731343284","all","red_IF"
"Detection Rate","0.5","1","0","all","red_IF"
"Detection Prevalence","0.5","1","0","all","red_IF"
"Balanced Accuracy","0.992647058823529",NA,"0.5","all","red_IF"
"Accuracy","1","1","1","adn","red_IF"
"Kappa","1","NaN","NaN","adn","red_IF"
"AccuracyLower","0.956010545813158","0.913956163705972","0.913956163705972","adn","red_IF"
"AccuracyUpper","1","1","1","adn","red_IF"
"AccuracyNull","0.5","1","1","adn","red_IF"
"AccuracyPValue","2.06795153138258e-25","1","1","adn","red_IF"
"McnemarPValue","NaN","NaN","NaN","adn","red_IF"
"Sensitivity","1","1",NA,"adn","red_IF"
"Specificity","1",NA,"1","adn","red_IF"
"Pos Pred Value","1",NA,NA,"adn","red_IF"
"Neg Pred Value","1",NA,NA,"adn","red_IF"
"Precision","1","1",NA,"adn","red_IF"
"Recall","1","1",NA,"adn","red_IF"
"F1","1","1",NA,"adn","red_IF"
"Prevalence","0.5","1","0","adn","red_IF"
"Detection Rate","0.5","1","0","adn","red_IF"
"Detection Prevalence","0.5","1","0","adn","red_IF"
"Balanced Accuracy","1",NA,NA,"adn","red_IF"
"Accuracy","0.980769230769231","1","0.961538461538462","crc","red_IF"
"Kappa","0.961538461538461","NaN","0","crc","red_IF"
"AccuracyLower","0.897446455347882","0.867725395502246","0.803630353237461","crc","red_IF"
"AccuracyUpper","0.999513237584508","1","0.999026712106665","crc","red_IF"
"AccuracyNull","0.519230769230769","1","0.961538461538462","crc","red_IF"
"AccuracyPValue","7.76692347055636e-14","1","0.735806035190469","crc","red_IF"
"McnemarPValue","1","NaN","1","crc","red_IF"
"Sensitivity","0.962962962962963","1","0","crc","red_IF"
"Specificity","1",NA,"1","crc","red_IF"
"Pos Pred Value","1",NA,"NaN","crc","red_IF"
"Neg Pred Value","0.961538461538461",NA,"0.961538461538462","crc","red_IF"
"Precision","1","1",NA,"crc","red_IF"
"Recall","0.962962962962963","1","0","crc","red_IF"
"F1","0.981132075471698","1",NA,"crc","red_IF"
"Prevalence","0.519230769230769","1","0.0384615384615385","crc","red_IF"
"Detection Rate","0.5","1","0","crc","red_IF"
"Detection Prevalence","0.5","1","0","crc","red_IF"
"Balanced Accuracy","0.981481481481481",NA,"0.5","crc","red_IF"
