"info","all","initial","followup","samples_tested","model_type"
"Specificity","0.384615384615385",NA,"0.384615384615385","all","red_lesion"
"Pos Pred Value","0.626168224299065",NA,"0.024390243902439","all","red_lesion"
"Neg Pred Value","1",NA,"1","all","red_lesion"
"Precision","0.626168224299065","1","0.024390243902439","all","red_lesion"
"Recall","1","1","1","all","red_lesion"
"F1","0.770114942528736","1","0.0476190476190476","all","red_lesion"
"Prevalence","0.507575757575758","1","0.0151515151515152","all","red_lesion"
"Detection Rate","0.507575757575758","1","0.0151515151515152","all","red_lesion"
"Detection Prevalence","0.810606060606061","1","0.621212121212121","all","red_lesion"
"Balanced Accuracy","0.692307692307692",NA,"0.692307692307692","all","red_lesion"
"Accuracy","0.6875","1","0.375","adn","red_lesion"
"Kappa","0.375","NaN","0","adn","red_lesion"
"AccuracyLower","0.574110926143551","0.911902697121198","0.227262722481826","adn","red_lesion"
"AccuracyUpper","0.786525368891233","1","0.541985247767389","adn","red_lesion"
"AccuracyNull","0.5","1","1","adn","red_lesion"
"AccuracyPValue","0.000526367428676672","1","1","adn","red_lesion"
"McnemarPValue","1.58665630395119e-06","NaN","1.58665630395119e-06","adn","red_lesion"
"Sensitivity","1","1",NA,"adn","red_lesion"
"Specificity","0.375",NA,"0.375","adn","red_lesion"
"Pos Pred Value","0.615384615384615",NA,NA,"adn","red_lesion"
"Neg Pred Value","1",NA,NA,"adn","red_lesion"
"Precision","0.615384615384615","1","0","adn","red_lesion"
"Recall","1","1",NA,"adn","red_lesion"
"F1","0.761904761904762","1",NA,"adn","red_lesion"
"Prevalence","0.5","1","0","adn","red_lesion"
"Detection Rate","0.5","1","0","adn","red_lesion"
"Detection Prevalence","0.8125","1","0.625","adn","red_lesion"
"Balanced Accuracy","0.6875",NA,NA,"adn","red_lesion"
"Accuracy","0.711538461538462","1","0.423076923076923","crc","red_lesion"
"Kappa","0.409090909090909","NaN","0.0487804878048779","crc","red_lesion"
"AccuracyLower","0.56924198538134","0.867725395502246","0.233521983127443","crc","red_lesion"
"AccuracyUpper","0.828703212669486","1","0.630819619076033","crc","red_lesion"
"AccuracyNull","0.519230769230769","1","0.961538461538462","crc","red_lesion"
"AccuracyPValue","0.00373901847886383","1","1","crc","red_lesion"
"McnemarPValue","0.000300597607440451","NaN","0.000300597607440451","crc","red_lesion"
"Sensitivity","1","1","1","crc","red_lesion"
"Specificity","0.4",NA,"0.4","crc","red_lesion"
"Pos Pred Value","0.642857142857143",NA,"0.0625","crc","red_lesion"
"Neg Pred Value","1",NA,"1","crc","red_lesion"
"Precision","0.642857142857143","1","0.0625","crc","red_lesion"
"Recall","1","1","1","crc","red_lesion"
"F1","0.782608695652174","1","0.117647058823529","crc","red_lesion"
"Prevalence","0.519230769230769","1","0.0384615384615385","crc","red_lesion"
"Detection Rate","0.519230769230769","1","0.0384615384615385","crc","red_lesion"
"Detection Prevalence","0.807692307692308","1","0.615384615384615","crc","red_lesion"
"Balanced Accuracy","0.7",NA,"0.7","crc","red_lesion"
"Accuracy","0.992424242424242","1","0.984848484848485","all","IF"
"Kappa","0.984848484848485","NaN","0","all","IF"
"AccuracyLower","0.958514310188885","0.945641152829878","0.918447678905176","all","IF"
"AccuracyUpper","0.999808216817108","1","0.999616470415005","all","IF"
"AccuracyNull","0.507575757575758","1","0.984848484848485","all","IF"
"AccuracyPValue","1.72546316959522e-37","1","0.735766028151383","all","IF"
"McnemarPValue","1","NaN","1","all","IF"
"Sensitivity","0.985074626865672","1","0","all","IF"
"Specificity","1",NA,"1","all","IF"
"Pos Pred Value","1",NA,"NaN","all","IF"
"Neg Pred Value","0.984848484848485",NA,"0.984848484848485","all","IF"
"Precision","1","1",NA,"all","IF"
"Recall","0.985074626865672","1","0","all","IF"
"F1","0.992481203007519","1",NA,"all","IF"
"Prevalence","0.507575757575758","1","0.0151515151515152","all","IF"
"Detection Rate","0.5","1","0","all","IF"
"Detection Prevalence","0.5","1","0","all","IF"
"Balanced Accuracy","0.992537313432836",NA,"0.5","all","IF"
"Accuracy","1","1","1","adn","IF"
"Kappa","1","NaN","NaN","adn","IF"
"AccuracyLower","0.954935964932308","0.911902697121198","0.911902697121198","adn","IF"
"AccuracyUpper","1","1","1","adn","IF"
"AccuracyNull","0.5","1","1","adn","IF"
"AccuracyPValue","8.2718061255303e-25","1","1","adn","IF"
"McnemarPValue","NaN","NaN","NaN","adn","IF"
"Sensitivity","1","1",NA,"adn","IF"
"Specificity","1",NA,"1","adn","IF"
"Pos Pred Value","1",NA,NA,"adn","IF"
"Neg Pred Value","1",NA,NA,"adn","IF"
"Precision","1","1",NA,"adn","IF"
"Recall","1","1",NA,"adn","IF"
"F1","1","1",NA,"adn","IF"
"Prevalence","0.5","1","0","adn","IF"
"Detection Rate","0.5","1","0","adn","IF"
"Detection Prevalence","0.5","1","0","adn","IF"
"Balanced Accuracy","1",NA,NA,"adn","IF"
"Accuracy","0.980769230769231","1","0.961538461538462","crc","IF"
"Kappa","0.961538461538461","NaN","0","crc","IF"
"AccuracyLower","0.897446455347882","0.867725395502246","0.803630353237461","crc","IF"
"AccuracyUpper","0.999513237584508","1","0.999026712106665","crc","IF"
"AccuracyNull","0.519230769230769","1","0.961538461538462","crc","IF"
"AccuracyPValue","7.76692347055636e-14","1","0.735806035190469","crc","IF"
"McnemarPValue","1","NaN","1","crc","IF"
"Sensitivity","0.962962962962963","1","0","crc","IF"
"Specificity","1",NA,"1","crc","IF"
"Pos Pred Value","1",NA,"NaN","crc","IF"
"Neg Pred Value","0.961538461538461",NA,"0.961538461538462","crc","IF"
"Precision","1","1",NA,"crc","IF"
"Recall","0.962962962962963","1","0","crc","IF"
"F1","0.981132075471698","1",NA,"crc","IF"
"Prevalence","0.519230769230769","1","0.0384615384615385","crc","IF"
"Detection Rate","0.5","1","0","crc","IF"
"Detection Prevalence","0.5","1","0","crc","IF"
"Balanced Accuracy","0.981481481481481",NA,"0.5","crc","IF"
"Accuracy","0.992424242424242","1","0.984848484848485","all","red_IF"
"Kappa","0.984848484848485","NaN","0","all","red_IF"
"AccuracyLower","0.958514310188885","0.945641152829878","0.918447678905176","all","red_IF"
"AccuracyUpper","0.999808216817108","1","0.999616470415005","all","red_IF"
"AccuracyNull","0.507575757575758","1","0.984848484848485","all","red_IF"
"AccuracyPValue","1.72546316959522e-37","1","0.735766028151383","all","red_IF"
"McnemarPValue","1","NaN","1","all","red_IF"
"Sensitivity","0.985074626865672","1","0","all","red_IF"
"Specificity","1",NA,"1","all","red_IF"
"Pos Pred Value","1",NA,"NaN","all","red_IF"
"Neg Pred Value","0.984848484848485",NA,"0.984848484848485","all","red_IF"
"Precision","1","1",NA,"all","red_IF"
"Recall","0.985074626865672","1","0","all","red_IF"
"F1","0.992481203007519","1",NA,"all","red_IF"
"Prevalence","0.507575757575758","1","0.0151515151515152","all","red_IF"
"Detection Rate","0.5","1","0","all","red_IF"
"Detection Prevalence","0.5","1","0","all","red_IF"
"Balanced Accuracy","0.992537313432836",NA,"0.5","all","red_IF"
"Accuracy","1","1","1","adn","red_IF"
"Kappa","1","NaN","NaN","adn","red_IF"
"AccuracyLower","0.954935964932308","0.911902697121198","0.911902697121198","adn","red_IF"
"AccuracyUpper","1","1","1","adn","red_IF"
"AccuracyNull","0.5","1","1","adn","red_IF"
"AccuracyPValue","8.2718061255303e-25","1","1","adn","red_IF"
"McnemarPValue","NaN","NaN","NaN","adn","red_IF"
"Sensitivity","1","1",NA,"adn","red_IF"
"Specificity","1",NA,"1","adn","red_IF"
"Pos Pred Value","1",NA,NA,"adn","red_IF"
"Neg Pred Value","1",NA,NA,"adn","red_IF"
"Precision","1","1",NA,"adn","red_IF"
"Recall","1","1",NA,"adn","red_IF"
"F1","1","1",NA,"adn","red_IF"
"Prevalence","0.5","1","0","adn","red_IF"
"Detection Rate","0.5","1","0","adn","red_IF"
"Detection Prevalence","0.5","1","0","adn","red_IF"
"Balanced Accuracy","1",NA,NA,"adn","red_IF"
"Accuracy","0.980769230769231","1","0.961538461538462","crc","red_IF"
"Kappa","0.961538461538461","NaN","0","crc","red_IF"
"AccuracyLower","0.897446455347882","0.867725395502246","0.803630353237461","crc","red_IF"
"AccuracyUpper","0.999513237584508","1","0.999026712106665","crc","red_IF"
"AccuracyNull","0.519230769230769","1","0.961538461538462","crc","red_IF"
"AccuracyPValue","7.76692347055636e-14","1","0.735806035190469","crc","red_IF"
"McnemarPValue","1","NaN","1","crc","red_IF"
"Sensitivity","0.962962962962963","1","0","crc","red_IF"
"Specificity","1",NA,"1","crc","red_IF"
"Pos Pred Value","1",NA,"NaN","crc","red_IF"
"Neg Pred Value","0.961538461538461",NA,"0.961538461538462","crc","red_IF"
"Precision","1","1",NA,"crc","red_IF"
"Recall","0.962962962962963","1","0","crc","red_IF"
"F1","0.981132075471698","1",NA,"crc","red_IF"
"Prevalence","0.519230769230769","1","0.0384615384615385","crc","red_IF"
"Detection Rate","0.5","1","0","crc","red_IF"
"Detection Prevalence","0.5","1","0","crc","red_IF"
"Balanced Accuracy","0.981481481481481",NA,"0.5","crc","red_IF"
